clientID,POS,traitName,traitWgt,metricName,metricWgt,statName,statWgt,inverse
3,M,AERIAL,0.15,CONTESTED,0.45,Contested Mark Disposal Pct,0.3,0
3,M,AERIAL,0.15,MOKS,0.2,Contested Mark From Opp,0.1,0
3,M,AERIAL,0.15,MOKS,0.2,Mark From Opposition Kick,0.6,0
3,M,AERIAL,0.15,MOKS,0.2,Uncontested Mark From Opp,0.3,0
3,M,AERIAL,0.15,RUCK,0,Hit Out Sharked Inverted,0,1
3,M,AERIAL,0.15,RUCK,0,Hit Out To Advantage,0,0
3,M,AERIAL,0.15,RUCK,0,Hitout,0,0
3,M,AERIAL,0.15,RUCK,0,Hitout To Advantage Win Percentage,0,0
3,M,AERIAL,0.15,RUCK,0,Ruck Contest,0,0
3,M,DEFENCE,0.2,PRESSURE,0.4,Player Attempted Tackle,0.7,0
3,M,DEFENCE,0.2,PRESSURE,0.4,Player Ineffective Tackle Inverted,0.05,1
3,M,DEFENCE,0.2,PRESSURE,0.4,Player Tackle Efficiency,0.25,0
3,M,DEFENCE,0.2,TACKLING,0.4,Missed Tackle Inverted,0.08,1
3,M,DEFENCE,0.2,TACKLING,0.4,Rundown Tackle,0.02,0
3,M,DEFENCE,0.2,TACKLING,0.4,Tackle,0.5,0
3,M,DEFENCE,0.2,TACKLING,0.4,Tackle Post Clearance,0.15,0
3,M,DEFENCE,0.2,TACKLING,0.4,Tackle Pre Clearance,0.15,0
3,M,DEFENCE,0.2,TACKLING,0.4,Free Against Tackling Inverted,0.1,1
3,M,DEFENCE,0.2,INTERCEPTING,0.1,Intercept,0.8,0
3,M,DEFENCE,0.2,INTERCEPTING,0.1,Intercept Disposal Pct,0.2,0
3,M,DEFENCE,0.2,NEUTRALISE,0.1,Smother,0.2,0
3,M,DEFENCE,0.2,NEUTRALISE,0.1,Spoil,0.4,0
3,M,DEFENCE,0.2,NEUTRALISE,0.1,Spoil Efficiency,0.1,0
3,M,DEFENCE,0.2,NEUTRALISE,0.1,Spoil Gaining Possession,0.3,0
3,W,BALL WINNING,0.518,STOPPAGE,0.628,Clearance,0.726,0
3,W,BALL WINNING,0.518,STOPPAGE,0.628,First Possession,0.196,0
3,W,BALL WINNING,0.518,STOPPAGE,0.628,Hit Out Sharked,0.059,0
3,W,BALL WINNING,0.518,STOPPAGE,0.628,Gather From Hitout,0.011,0
3,W,BALL WINNING,0.518,STOPPAGE,0.628,Disposal Pre Clearance,0.008,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Hard Ball Get,0.474,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Hard Ball Get Post Clearance,0.197,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Hand Ball Pre Clearance,0.109,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Free For,0.102,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Free For Post Clearance,0.067,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Free For Pre Clearance,0.036,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Crumb,0.013,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Gather,0.001,0
3,W,BALL WINNING,0.518,CONTEST,0.186,Contested Possession,0,0
3,W,BALL WINNING,0.518,POWER,0.109,First Possession to Clearance Percentage,0.37,0
3,W,BALL WINNING,0.518,POWER,0.109,Broken Tackle,0.328,0
3,W,BALL WINNING,0.518,POWER,0.109,Contested Possession Rate,0.302,0
3,W,BALL WINNING,0.518,RECEIVES,0.078,Loose Ball Get,0.565,0
3,W,BALL WINNING,0.518,RECEIVES,0.078,Loose Ball Get Post Clearance,0.217,0
3,W,BALL WINNING,0.518,RECEIVES,0.078,Loose Ball Get Pre Clearance,0.134,0
